Opportunity_ID,Deal_Name,Account_Name,Sales_Rep,Region,Lead_Source,Stage,Amount_USD,Close_Date,Created_Date,Days_in_Stage,Product_Tier,Competitor_Mentioned,Loss_Reason,Is_Outlier,Sales_Cycle_Duration,Month_Created,Month_Closed,Quarter_Created,Quarter_Closed
OPP-10767,Deal for OmniCorp,OmniCorp,Bob Williams,APAC,Referral,Closed Won,4048.24,2025-05-29,2024-11-30,162,Basic,No,NaN,False,180,2024-11,2025-05,2024Q4,2025Q2
OPP-10456,Deal for Catalyst Group,Catalyst Group,Diana Miller,APAC,Partner,Closed Lost,4975.95,2025-06-13,2025-03-25,80,Enterprise,Yes,Features,False,80,2025-03,2025-06,2025Q1,2025Q2
OPP-10247,Deal for Veridian Corp,Veridian Corp,Charlie Brown,EMEA,Cold Call,Closed Lost,2448.59,2025-06-28,2025-03-26,86,Basic,Yes,Competitor,False,94,2025-03,2025-06,2025Q1,2025Q2
OPP-10611,Deal for BrightSpark,BrightSpark,Alice Johnson,EMEA,Cold Call,Closed Lost,12756.32,2025-03-06,2024-10-23,114,Enterprise,Yes,Competitor,False,134,2024-10,2025-03,2024Q4,2025Q1
OPP-10705,Deal for Elevate Solutions,Elevate Solutions,Diana Miller,APAC,Referral,Closed Lost,2632.85,2025-06-17,2025-01-25,125,Enterprise,No,Timing,False,143,2025-01,2025-06,2025Q1,2025Q2
OPP-10979,Deal for Prime Ventures,Prime Ventures,Charlie Brown,North America,Website,Closed Lost,9570.19,2024-09-07,2024-08-03,20,Enterprise,No,Competitor,False,35,2024-08,2024-09,2024Q3,2024Q3
OPP-10298,Deal for Zenith Global,Zenith Global,Alice Johnson,APAC,Event,Closed Lost,3119.28,2025-05-10,2025-03-06,53,Basic,Yes,Timing,False,65,2025-03,2025-05,2025Q1,2025Q2
OPP-10101,Deal for InnovateCo,InnovateCo,Charlie Brown,EMEA,Partner,Closed Lost,6496.39,2024-10-19,2024-08-10,70,Pro,Yes,Features,False,70,2024-08,2024-10,2024Q3,2024Q4
OPP-10960,Deal for InnovateCo,InnovateCo,Charlie Brown,APAC,Event,Closed Lost,8521.54,2024-09-06,2024-06-23,59,Enterprise,No,Features,False,75,2024-06,2024-09,2024Q2,2024Q3
OPP-10605,Deal for Evergreen Tech,Evergreen Tech,Diana Miller,North America,Referral,Closed Lost,7787.22,2025-07-08,2025-02-26,132,Enterprise,No,Price,False,132,2025-02,2025-07,2025Q1,2025Q3
OPP-10213,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,EMEA,Partner,Closed Lost,1190.34,2025-05-13,2024-12-27,131,Basic,Yes,Budget,False,137,2024-12,2025-05,2024Q4,2025Q2
OPP-10237,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,North America,Event,Closed Lost,11468.04,2025-03-04,2024-10-24,131,Enterprise,No,Timing,False,131,2024-10,2025-03,2024Q4,2025Q1
OPP-10593,Deal for InnovateCo,InnovateCo,Alice Johnson,North America,Partner,Closed Lost,5907.06,2025-05-24,2025-01-02,142,Pro,Yes,Competitor,False,142,2025-01,2025-05,2025Q1,2025Q2
OPP-10281,Deal for Catalyst Group,Catalyst Group,Eve Davis,North America,Partner,Closed Lost,4325.16,2025-07-23,2025-04-30,76,Enterprise,Yes,Competitor,False,84,2025-04,2025-07,2025Q2,2025Q3
OPP-10377,Deal for Catalyst Group,Catalyst Group,Diana Miller,EMEA,Website,Closed Lost,3438.15,2025-01-30,2024-12-10,51,Basic,Yes,No Need,False,51,2024-12,2025-01,2024Q4,2025Q1
OPP-10286,Deal for Apex Solutions,Apex Solutions,Eve Davis,APAC,Website,Closed Lost,4287.36,2025-05-11,2025-01-21,97,Basic,Yes,Competitor,False,110,2025-01,2025-05,2025Q1,2025Q2
OPP-10388,Deal for Fusion Innovations,Fusion Innovations,Bob Williams,North America,Partner,Closed Lost,9671.07,2024-12-17,2024-08-11,116,Enterprise,Yes,Internal Prioritization,False,128,2024-08,2024-12,2024Q3,2024Q4
OPP-10883,Deal for Astra Dynamics,Astra Dynamics,Diana Miller,APAC,Cold Call,Closed Lost,11186.25,2024-09-23,2024-06-23,92,Enterprise,Yes,Internal Prioritization,False,92,2024-06,2024-09,2024Q2,2024Q3
OPP-10717,Deal for InnovateCo,InnovateCo,Bob Williams,EMEA,Cold Call,Closed Lost,2510.13,2025-01-07,2024-09-30,80,Basic,No,No Need,False,99,2024-09,2025-01,2024Q3,2025Q1
OPP-10793,Deal for Horizon Digital,Horizon Digital,Bob Williams,APAC,Website,Closed Lost,1343.56,2025-05-10,2024-12-20,129,Basic,No,Features,False,141,2024-12,2025-05,2024Q4,2025Q2
OPP-10096,Deal for Velocity Systems,Velocity Systems,Eve Davis,North America,Website,Closed Lost,4847.72,2025-06-03,2025-01-08,136,Enterprise,Yes,Internal Prioritization,False,146,2025-01,2025-06,2025Q1,2025Q2
OPP-10244,Deal for Fusion Innovations,Fusion Innovations,Alice Johnson,North America,Referral,Closed Lost,1623.33,2025-07-12,2025-04-22,64,Pro,No,Timing,False,81,2025-04,2025-07,2025Q2,2025Q3
OPP-10746,Deal for Veridian Corp,Veridian Corp,Alice Johnson,EMEA,Referral,Closed Lost,17478.08,2024-12-03,2024-08-25,100,Enterprise,Yes,Internal Prioritization,True,100,2024-08,2024-12,2024Q3,2024Q4
OPP-10076,Deal for Catalyst Group,Catalyst Group,Alice Johnson,EMEA,Cold Call,Closed Lost,3276.78,2024-10-01,2024-06-20,84,Basic,Yes,Budget,False,103,2024-06,2024-10,2024Q2,2024Q4
OPP-10933,Deal for InnovateCo,InnovateCo,Eve Davis,EMEA,Website,Closed Lost,5992.24,2025-01-05,2024-11-19,40,Enterprise,No,Competitor,False,47,2024-11,2025-01,2024Q4,2025Q1
OPP-10209,Deal for Veridian Corp,Veridian Corp,Charlie Brown,APAC,Partner,Closed Lost,8009.21,2025-08-18,2025-05-09,92,Enterprise,Yes,Timing,False,101,2025-05,2025-08,2025Q2,2025Q3
OPP-10259,Deal for Apex Solutions,Apex Solutions,Alice Johnson,North America,Event,Closed Lost,1779.47,2024-12-13,2024-07-23,136,Enterprise,Yes,No Need,False,143,2024-07,2024-12,2024Q3,2024Q4
OPP-10158,Deal for InnovateCo,InnovateCo,Diana Miller,APAC,Cold Call,Closed Lost,6936.11,2024-08-19,2024-07-01,38,Enterprise,No,Timing,False,49,2024-07,2024-08,2024Q3,2024Q3
OPP-10495,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,North America,Event,Closed Lost,6235.67,2025-01-02,2024-09-24,100,Enterprise,No,No Need,False,100,2024-09,2025-01,2024Q3,2025Q1
OPP-10526,Deal for Prime Ventures,Prime Ventures,Alice Johnson,North America,Event,Closed Lost,8694.5,2025-06-03,2025-02-18,95,Enterprise,No,Budget,False,105,2025-02,2025-06,2025Q1,2025Q2
OPP-10331,Deal for Prime Ventures,Prime Ventures,Charlie Brown,North America,Website,Closed Won,4147.64,2025-05-05,2024-11-13,162,Pro,Yes,NaN,False,173,2024-11,2025-05,2024Q4,2025Q2
OPP-10952,Deal for Evergreen Tech,Evergreen Tech,Bob Williams,North America,Website,Closed Lost,3718.78,2024-11-11,2024-07-25,109,Basic,Yes,Price,False,109,2024-07,2024-11,2024Q3,2024Q4
OPP-10314,Deal for Elevate Solutions,Elevate Solutions,Charlie Brown,APAC,Social Media,Closed Lost,2782.41,2024-10-12,2024-07-25,69,Basic,No,Price,False,79,2024-07,2024-10,2024Q3,2024Q4
OPP-10294,Deal for Pioneer Systems,Pioneer Systems,Charlie Brown,EMEA,Event,Closed Lost,2130.76,2025-03-20,2024-12-21,89,Basic,No,Internal Prioritization,False,89,2024-12,2025-03,2024Q4,2025Q1
OPP-10381,Deal for InnovateCo,InnovateCo,Alice Johnson,EMEA,Social Media,Closed Lost,3666.04,2025-01-24,2024-11-14,54,Pro,No,Timing,False,71,2024-11,2025-01,2024Q4,2025Q1
OPP-10920,Deal for InnovateCo,InnovateCo,Diana Miller,APAC,Cold Call,Closed Lost,6672.09,2024-10-24,2024-08-15,59,Enterprise,Yes,Timing,False,70,2024-08,2024-10,2024Q3,2024Q4
OPP-10803,Deal for Catalyst Group,Catalyst Group,Alice Johnson,EMEA,Cold Call,Closed Won,2525.05,2025-04-01,2024-09-27,172,Basic,No,NaN,False,186,2024-09,2025-04,2024Q3,2025Q2
OPP-10954,Deal for Fusion Innovations,Fusion Innovations,Alice Johnson,EMEA,Referral,Closed Lost,9323.0,2025-07-10,2025-03-20,93,Enterprise,Yes,No Need,False,112,2025-03,2025-07,2025Q1,2025Q3
OPP-10621,Deal for Prime Ventures,Prime Ventures,Charlie Brown,APAC,Website,Closed Lost,821.36,2025-06-05,2025-01-27,114,Basic,No,Budget,False,129,2025-01,2025-06,2025Q1,2025Q2
OPP-10718,Deal for Astra Dynamics,Astra Dynamics,Charlie Brown,North America,Cold Call,Closed Lost,7809.19,2025-02-01,2024-11-20,73,Pro,No,Internal Prioritization,False,73,2024-11,2025-02,2024Q4,2025Q1
OPP-10059,Deal for Catalyst Group,Catalyst Group,Bob Williams,APAC,Referral,Closed Lost,5119.07,2024-12-03,2024-07-20,118,Pro,No,No Need,False,136,2024-07,2024-12,2024Q3,2024Q4
OPP-10625,Deal for BrightSpark,BrightSpark,Bob Williams,APAC,Referral,Closed Lost,7213.21,2025-04-19,2025-03-19,21,Pro,Yes,Features,False,31,2025-03,2025-04,2025Q1,2025Q2
OPP-10558,Deal for Horizon Digital,Horizon Digital,Alice Johnson,North America,Website,Closed Lost,9471.04,2024-11-07,2024-07-21,109,Enterprise,Yes,Timing,False,109,2024-07,2024-11,2024Q3,2024Q4
OPP-10783,Deal for Quantum Labs,Quantum Labs,Diana Miller,EMEA,Referral,Closed Lost,2776.83,2024-07-16,2024-06-09,17,Pro,No,Competitor,False,37,2024-06,2024-07,2024Q2,2024Q3
OPP-10380,Deal for Velocity Systems,Velocity Systems,Charlie Brown,North America,Social Media,Closed Lost,1438.87,2025-02-04,2024-12-28,38,Basic,Yes,Internal Prioritization,False,38,2024-12,2025-02,2024Q4,2025Q1
OPP-10054,Deal for Fusion Innovations,Fusion Innovations,Charlie Brown,North America,Social Media,Closed Lost,1229.55,2025-03-04,2024-10-30,125,Pro,No,No Need,False,125,2024-10,2025-03,2024Q4,2025Q1
OPP-10023,Deal for Apex Solutions,Apex Solutions,Alice Johnson,North America,Event,Closed Lost,8829.41,2024-10-31,2024-06-13,135,Enterprise,Yes,Internal Prioritization,False,140,2024-06,2024-10,2024Q2,2024Q4
OPP-10030,Deal for InnovateCo,InnovateCo,Alice Johnson,EMEA,Referral,Closed Lost,12777.9,2025-04-28,2025-03-04,55,Enterprise,Yes,Internal Prioritization,False,55,2025-03,2025-04,2025Q1,2025Q2
OPP-10876,Deal for Horizon Digital,Horizon Digital,Diana Miller,EMEA,Referral,Closed Lost,9571.54,2024-12-20,2024-09-14,91,Enterprise,Yes,Competitor,False,97,2024-09,2024-12,2024Q3,2024Q4
OPP-10429,Deal for Catalyst Group,Catalyst Group,Eve Davis,EMEA,Website,Closed Lost,2462.41,2024-12-10,2024-08-02,130,Basic,No,No Need,False,130,2024-08,2024-12,2024Q3,2024Q4
OPP-10010,Deal for Veridian Corp,Veridian Corp,Diana Miller,EMEA,Referral,Closed Lost,3263.45,2024-12-21,2024-10-03,66,Basic,Yes,No Need,False,79,2024-10,2024-12,2024Q4,2024Q4
OPP-10816,Deal for Prime Ventures,Prime Ventures,Diana Miller,North America,Partner,Closed Lost,1298.33,2025-08-13,2025-03-26,125,Basic,Yes,No Need,False,140,2025-03,2025-08,2025Q1,2025Q3
OPP-10809,Deal for InnovateCo,InnovateCo,Charlie Brown,North America,Referral,Closed Lost,786.4,2024-12-20,2024-06-16,181,Basic,Yes,Competitor,False,187,2024-06,2024-12,2024Q2,2024Q4
OPP-10482,Deal for Nexus Enterprises,Nexus Enterprises,Diana Miller,APAC,Cold Call,Closed Lost,13636.97,2025-03-30,2025-02-28,20,Enterprise,No,Price,False,30,2025-02,2025-03,2025Q1,2025Q1
OPP-10445,Deal for Elite Dynamics,Elite Dynamics,Alice Johnson,North America,Event,Closed Lost,6652.7,2024-09-02,2024-07-03,61,Pro,Yes,Price,False,61,2024-07,2024-09,2024Q3,2024Q3
OPP-10199,Deal for Veridian Corp,Veridian Corp,Diana Miller,North America,Referral,Closed Lost,9663.64,2024-09-21,2024-08-21,20,Enterprise,No,Competitor,False,31,2024-08,2024-09,2024Q3,2024Q3
OPP-10500,Deal for Prime Ventures,Prime Ventures,Diana Miller,EMEA,Social Media,Closed Lost,5477.12,2025-05-07,2025-01-24,98,Enterprise,No,No Need,False,103,2025-01,2025-05,2025Q1,2025Q2
OPP-10773,Deal for Fusion Innovations,Fusion Innovations,Charlie Brown,APAC,Event,Closed Lost,9392.21,2024-10-19,2024-06-19,113,Pro,No,Competitor,False,122,2024-06,2024-10,2024Q2,2024Q4
OPP-10107,Deal for Velocity Systems,Velocity Systems,Charlie Brown,EMEA,Social Media,Closed Lost,3309.7,2024-11-07,2024-07-11,119,Pro,No,Competitor,False,119,2024-07,2024-11,2024Q3,2024Q4
OPP-10218,Deal for Quantum Labs,Quantum Labs,Alice Johnson,EMEA,Event,Closed Lost,3934.99,2025-05-23,2025-03-05,73,Basic,Yes,No Need,False,79,2025-03,2025-05,2025Q1,2025Q2
OPP-10420,Deal for Fusion Innovations,Fusion Innovations,Alice Johnson,North America,Event,Closed Lost,3604.52,2024-11-15,2024-08-10,88,Pro,Yes,No Need,False,97,2024-08,2024-11,2024Q3,2024Q4
OPP-10174,Deal for Fusion Innovations,Fusion Innovations,Bob Williams,North America,Partner,Closed Lost,7484.75,2024-12-08,2024-08-28,102,Pro,No,Features,False,102,2024-08,2024-12,2024Q3,2024Q4
OPP-10720,Deal for GlobalTech,GlobalTech,Bob Williams,EMEA,Partner,Closed Lost,3803.87,2025-05-22,2025-02-14,88,Basic,Yes,Timing,False,97,2025-02,2025-05,2025Q1,2025Q2
OPP-10519,Deal for Pioneer Systems,Pioneer Systems,Bob Williams,APAC,Event,Closed Lost,4135.21,2025-07-18,2025-05-25,54,Basic,No,Internal Prioritization,False,54,2025-05,2025-07,2025Q2,2025Q3
OPP-10453,Deal for Prime Ventures,Prime Ventures,Eve Davis,EMEA,Social Media,Closed Lost,1345.05,2025-07-02,2025-02-25,115,Basic,Yes,Timing,False,127,2025-02,2025-07,2025Q1,2025Q3
OPP-10929,Deal for OmniCorp,OmniCorp,Alice Johnson,North America,Social Media,Closed Lost,4685.25,2024-09-30,2024-07-09,70,Basic,No,Features,False,83,2024-07,2024-09,2024Q3,2024Q3
OPP-10039,Deal for Zenith Global,Zenith Global,Alice Johnson,North America,Partner,Closed Lost,4970.19,2025-04-29,2025-02-07,73,Pro,No,No Need,False,81,2025-02,2025-04,2025Q1,2025Q2
OPP-10551,Deal for Elevate Solutions,Elevate Solutions,Bob Williams,North America,Cold Call,Closed Lost,6998.96,2024-10-31,2024-06-05,140,Pro,Yes,No Need,False,148,2024-06,2024-10,2024Q2,2024Q4
OPP-10819,Deal for Fusion Innovations,Fusion Innovations,Bob Williams,APAC,Referral,Closed Lost,7510.61,2025-07-01,2025-04-07,65,Pro,No,Timing,False,85,2025-04,2025-07,2025Q2,2025Q3
OPP-10351,Deal for Nexus Enterprises,Nexus Enterprises,Charlie Brown,North America,Website,Closed Lost,5074.64,2025-05-15,2025-01-03,113,Pro,No,Budget,False,132,2025-01,2025-05,2025Q1,2025Q2
OPP-10066,Deal for GlobalTech,GlobalTech,Charlie Brown,North America,Partner,Closed Lost,3389.65,2024-11-19,2024-07-20,122,Basic,No,Price,False,122,2024-07,2024-11,2024Q3,2024Q4
OPP-10277,Deal for OmniCorp,OmniCorp,Eve Davis,APAC,Partner,Closed Lost,2728.92,2025-02-28,2024-10-20,124,Enterprise,Yes,No Need,False,131,2024-10,2025-02,2024Q4,2025Q1
OPP-10067,Deal for Fusion Innovations,Fusion Innovations,Eve Davis,North America,Referral,Closed Lost,3817.82,2025-08-08,2025-03-23,126,Enterprise,No,Timing,False,138,2025-03,2025-08,2025Q1,2025Q3
OPP-10906,Deal for Elevate Solutions,Elevate Solutions,Alice Johnson,EMEA,Event,Closed Lost,4309.95,2025-08-10,2025-03-28,122,Basic,Yes,Timing,False,135,2025-03,2025-08,2025Q1,2025Q3
OPP-10914,Deal for BrightSpark,BrightSpark,Bob Williams,APAC,Cold Call,Closed Lost,2369.28,2024-10-19,2024-09-17,32,Enterprise,Yes,Timing,False,32,2024-09,2024-10,2024Q3,2024Q4
OPP-10944,Deal for Catalyst Group,Catalyst Group,Bob Williams,APAC,Social Media,Closed Won,2789.36,2024-12-09,2024-06-25,151,Pro,Yes,NaN,False,167,2024-06,2024-12,2024Q2,2024Q4
OPP-10296,Deal for Fusion Innovations,Fusion Innovations,Diana Miller,APAC,Partner,Closed Lost,6296.38,2025-06-06,2025-02-24,102,Enterprise,Yes,Internal Prioritization,False,102,2025-02,2025-06,2025Q1,2025Q2
OPP-10618,Deal for Velocity Systems,Velocity Systems,Eve Davis,North America,Event,Closed Lost,1820.97,2025-04-28,2025-02-01,86,Basic,Yes,Features,False,86,2025-02,2025-04,2025Q1,2025Q2
OPP-10598,Deal for Prime Ventures,Prime Ventures,Diana Miller,EMEA,Event,Closed Lost,1505.63,2024-12-16,2024-07-25,138,Basic,Yes,Budget,False,144,2024-07,2024-12,2024Q3,2024Q4
OPP-10904,Deal for Apex Solutions,Apex Solutions,Bob Williams,EMEA,Social Media,Closed Lost,1302.38,2024-10-29,2024-09-19,40,Pro,Yes,Internal Prioritization,False,40,2024-09,2024-10,2024Q3,2024Q4
OPP-10848,Deal for Apex Solutions,Apex Solutions,Diana Miller,North America,Social Media,Closed Lost,11924.27,2025-06-02,2025-01-06,131,Enterprise,Yes,Internal Prioritization,False,147,2025-01,2025-06,2025Q1,2025Q2
OPP-10423,Deal for Zenith Global,Zenith Global,Charlie Brown,North America,Cold Call,Closed Lost,10718.21,2025-02-25,2024-11-08,109,Enterprise,Yes,Internal Prioritization,False,109,2024-11,2025-02,2024Q4,2025Q1
OPP-10757,Deal for Nexus Enterprises,Nexus Enterprises,Bob Williams,APAC,Cold Call,Closed Lost,4466.03,2024-11-18,2024-09-05,74,Basic,Yes,No Need,False,74,2024-09,2024-11,2024Q3,2024Q4
OPP-10312,Deal for Astra Dynamics,Astra Dynamics,Eve Davis,North America,Website,Closed Lost,2599.7,2025-05-13,2025-01-25,99,Enterprise,No,Competitor,False,108,2025-01,2025-05,2025Q1,2025Q2
OPP-10184,Deal for GlobalTech,GlobalTech,Charlie Brown,APAC,Event,Closed Lost,10196.9,2025-09-07,2025-05-09,104,Enterprise,Yes,Price,False,121,2025-05,2025-09,2025Q2,2025Q3
OPP-10332,Deal for GlobalTech,GlobalTech,Charlie Brown,EMEA,Website,Closed Lost,5503.02,2025-05-23,2025-03-20,64,Pro,Yes,Features,False,64,2025-03,2025-05,2025Q1,2025Q2
OPP-10088,Deal for Nexus Enterprises,Nexus Enterprises,Alice Johnson,APAC,Referral,Closed Lost,7174.89,2025-02-10,2024-10-08,107,Pro,No,No Need,False,125,2024-10,2025-02,2024Q4,2025Q1
OPP-10063,Deal for SynergyCorp,SynergyCorp,Bob Williams,APAC,Website,Closed Lost,9109.73,2025-07-01,2025-02-13,138,Enterprise,No,No Need,False,138,2025-02,2025-07,2025Q1,2025Q3
OPP-10830,Deal for Elite Dynamics,Elite Dynamics,Eve Davis,APAC,Event,Closed Won,4711.2,2025-04-28,2025-02-11,71,Pro,Yes,NaN,False,76,2025-02,2025-04,2025Q1,2025Q2
OPP-10576,Deal for Elevate Solutions,Elevate Solutions,Bob Williams,North America,Partner,Closed Lost,2445.89,2025-03-10,2024-10-17,144,Pro,Yes,No Need,False,144,2024-10,2025-03,2024Q4,2025Q1
OPP-10215,Deal for Prime Ventures,Prime Ventures,Bob Williams,North America,Event,Closed Lost,7922.31,2025-01-24,2024-08-28,134,Enterprise,No,Timing,False,149,2024-08,2025-01,2024Q3,2025Q1
OPP-10604,Deal for Horizon Digital,Horizon Digital,Alice Johnson,North America,Website,Closed Lost,2040.1,2025-07-21,2025-05-09,73,Basic,Yes,Features,False,73,2025-05,2025-07,2025Q2,2025Q3
OPP-10548,Deal for Zenith Global,Zenith Global,Alice Johnson,EMEA,Cold Call,Closed Lost,1118.74,2025-05-10,2025-02-11,78,Basic,No,Competitor,False,88,2025-02,2025-05,2025Q1,2025Q2
OPP-10290,Deal for Evergreen Tech,Evergreen Tech,Charlie Brown,North America,Referral,Closed Lost,1471.12,2025-08-09,2025-04-23,108,Basic,Yes,Features,False,108,2025-04,2025-08,2025Q2,2025Q3
OPP-10787,Deal for Elevate Solutions,Elevate Solutions,Eve Davis,EMEA,Website,Closed Lost,3830.34,2025-06-30,2025-02-06,125,Pro,Yes,Budget,False,144,2025-02,2025-06,2025Q1,2025Q2
OPP-10887,Deal for Quantum Labs,Quantum Labs,Charlie Brown,APAC,Partner,Closed Lost,11620.81,2024-10-21,2024-08-25,57,Enterprise,No,No Need,False,57,2024-08,2024-10,2024Q3,2024Q4
OPP-10964,Deal for SynergyCorp,SynergyCorp,Eve Davis,APAC,Social Media,Closed Lost,967.99,2024-09-02,2024-07-29,35,Basic,Yes,Price,False,35,2024-07,2024-09,2024Q3,2024Q3
OPP-10942,Deal for Horizon Digital,Horizon Digital,Charlie Brown,North America,Referral,Closed Lost,8664.92,2025-10-03,2025-05-18,125,Enterprise,Yes,Timing,False,138,2025-05,2025-10,2025Q2,2025Q4
OPP-10741,Deal for Horizon Digital,Horizon Digital,Diana Miller,APAC,Referral,Closed Lost,5056.11,2025-04-01,2025-02-27,33,Enterprise,Yes,Budget,False,33,2025-02,2025-04,2025Q1,2025Q2
OPP-10978,Deal for Apex Solutions,Apex Solutions,Charlie Brown,EMEA,Event,Closed Lost,1768.66,2025-05-23,2025-01-12,126,Pro,Yes,Price,False,131,2025-01,2025-05,2025Q1,2025Q2
OPP-10694,Deal for Catalyst Group,Catalyst Group,Charlie Brown,EMEA,Partner,Closed Lost,6222.27,2024-08-01,2024-06-01,48,Pro,No,Competitor,False,61,2024-06,2024-08,2024Q2,2024Q3
OPP-10990,Deal for Prime Ventures,Prime Ventures,Bob Williams,EMEA,Social Media,Closed Lost,3341.5,2025-03-15,2024-12-21,71,Basic,No,Price,False,84,2024-12,2025-03,2024Q4,2025Q1
OPP-10309,Deal for InnovateCo,InnovateCo,Bob Williams,EMEA,Referral,Closed Lost,1618.7,2025-01-10,2024-11-07,64,Basic,No,Features,False,64,2024-11,2025-01,2024Q4,2025Q1
OPP-10086,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,EMEA,Referral,Closed Lost,13036.19,2025-01-21,2024-11-30,37,Enterprise,Yes,Internal Prioritization,False,52,2024-11,2025-01,2024Q4,2025Q1
OPP-10728,Deal for Horizon Digital,Horizon Digital,Diana Miller,APAC,Partner,Closed Lost,1743.88,2025-04-21,2025-03-17,18,Enterprise,No,Competitor,False,35,2025-03,2025-04,2025Q1,2025Q2
OPP-10516,Deal for Fusion Innovations,Fusion Innovations,Eve Davis,EMEA,Website,Closed Lost,2312.79,2024-11-05,2024-09-02,44,Pro,No,Price,False,64,2024-09,2024-11,2024Q3,2024Q4
OPP-10310,Deal for Velocity Systems,Velocity Systems,Eve Davis,North America,Referral,Closed Lost,8099.88,2025-04-19,2025-03-14,16,Enterprise,No,Price,False,36,2025-03,2025-04,2025Q1,2025Q2
OPP-10536,Deal for Astra Dynamics,Astra Dynamics,Alice Johnson,North America,Partner,Closed Won,2139.08,2025-08-15,2025-01-31,179,Pro,No,NaN,False,196,2025-01,2025-08,2025Q1,2025Q3
OPP-10136,Deal for Elite Dynamics,Elite Dynamics,Diana Miller,EMEA,Event,Closed Lost,9538.5,2025-08-03,2025-04-14,94,Pro,No,Timing,False,111,2025-04,2025-08,2025Q2,2025Q3
OPP-10921,Deal for SynergyCorp,SynergyCorp,Charlie Brown,EMEA,Partner,Closed Lost,3487.78,2025-06-22,2024-09-07,46,Basic,Yes,No Need,False,288,2024-09,2025-06,2024Q3,2025Q2
OPP-10465,Deal for Quantum Labs,Quantum Labs,Eve Davis,EMEA,Event,Closed Lost,6987.85,2025-03-29,2024-11-16,116,Pro,Yes,Internal Prioritization,False,133,2024-11,2025-03,2024Q4,2025Q1
OPP-10845,Deal for SynergyCorp,SynergyCorp,Bob Williams,North America,Event,Closed Lost,3646.72,2024-12-15,2024-09-23,83,Basic,Yes,Timing,False,83,2024-09,2024-12,2024Q3,2024Q4
OPP-10261,Deal for BrightSpark,BrightSpark,Eve Davis,North America,Partner,Closed Lost,10563.59,2025-08-26,2025-05-24,89,Enterprise,No,Competitor,False,94,2025-05,2025-08,2025Q2,2025Q3
